manufacturer_id,Make,Model,ModelYear,CampaignNumber,ReportReceivedDate,Component,Summary,ManufacturerGroup,CriticalKeywordFlag
3,ford,Transit Connect,2014,21V977000,16/12/2021,VISIBILITY:FIXED PANARAMIC ROOF/SKY LIGHT ASSEMBLY,"Ford Motor Company (Ford) is recalling certain 2014 Transit Connect vehicles equipped with a Panoramic Fixed-Glass Vista roof.  An improper bond may exist between the panoramic roof and the vehicle body, which may result in the panel separating from the vehicle.",domestic,0
3,ford,Transit Connect,2014,20V331000,08/06/2020,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,"Ford Motor Company (Ford) is recalling certain 2011-2014 Fiesta, 2013-2014 Fusion, 2015 Mustang, 2013-2015 Escape and C-Max, 2012-2015 Focus, 2014-2016 Transit Connect, 2013-2014 Lincoln MKZ, and 2015 MKC vehicles.  These vehicles were previously recalled and repaired under recalls 15V-246, 16V-643 or 17V-210, however the repair may not have been completed properly.  A component within the door latches may break making the doors difficult to latch and/or leading the driver or a passenger to believe a door is securely closed when, in fact, it is not.",domestic,0
3,ford,Transit Connect,2014,20V260000,08/05/2020,VISIBILITY:SUN/MOON ROOF ASSEMBLY,"Ford Motor Company (Ford) is recalling certain model year 2014-2017 Transit Connect vehicles equipped with a Panoramic Fixed-Glass Vista roof.  An improper bond may exist between the panoramic roof and the vehicle body and may result in wind noise, water leak, and in some cases, separation from the vehicle.",domestic,0
3,ford,Transit Connect,2014,21V376000,24/05/2021,POWER TRAIN:AUTOMATIC TRANSMISSION:GEAR POSITION INDICATION (PRNDL),Ford Motor Company (Ford) is recalling certain 2013-2021 Transit Connect vehicles equipped with 2.5L engines.  The bushing that attaches the shifter cable to the transmission may degrade or detach.,domestic,0
3,ford,Transit Connect,2014,15V050000,30/01/2015,SEAT BELTS:FRONT:ANCHORAGE,"Ford Motor Company (Ford) is recalling certain model year 2014 Ford Transit Connect vehicles manufactured November 6, 2013, to September 20, 2014.  In the affected vehicles, the upper seat belt bolts may have been improperly torqued, allowing them to loosen over time.",domestic,1
3,ford,Transit Connect,2014,16V643000,06/09/2016,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,"Ford Motor Company (Ford) is recalling certain model year 2012-2015 Ford Focus, 2013-2015 Ford Escape and Ford C-MAX, 2015 Lincoln MKC and Ford Mustang, and 2014-2016 Ford Transit Connect vehicles.  A component within the door latches may break, preventing the doors from latching and/or leading the driver or a passenger to believe a door is securely closed when, in fact, it is not.",domestic,0
3,ford,Transit Connect,2014,17V209000,27/03/2017,ENGINE AND ENGINE COOLING:ENGINE,"Ford Motor Company (Ford) is recalling certain 2014 Escape, 2014-2015 Fiesta ST, 2013-2014 Fusion and 2013-2015 Transit Connect vehicles equipped with 1.6L GTDI engines.  If the vehicle is started and driven with an insufficient level of coolant within the engine cooling system, the engine cylinder head may overheat, crack and leak oil.",domestic,0
3,ford,Transit Connect,2014,16V695000,27/09/2016,VISIBILITY:SUN/MOON ROOF ASSEMBLY,"Ford Motor Company (Ford) is recalling certain model year 2014 Transit Connect vehicles manufactured October 4, 2013, to July 14, 2014 and equipped with a Panoramic Fixed-Glass Vista roof.  The panoramic roof panel may have an inadequate bond to the vehicle, possibly resulting in the panel separating from the vehicle.",domestic,0
3,ford,Transit Connect,2014,15V406000,24/06/2015,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,"Ford Motor Company (Ford) is recalling certain model year 2014-2015 Ford Escape vehicles manufactured May 19, 2014, to February 6, 2015, and Transit Connect vehicles manufactured May 11, 2014, to July 2, 2015.  Due to a software incompatibility issue, the instrument panel cluster be inoperative including a blank multiple functional display (MFD), and non-functional warning chimes, messages and warning lights.  Specific warning chimes, messages and warning lights.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 101, ""Control and Displays.""",domestic,0
3,ford,Transit Connect,2014,14V777000,05/12/2014,STRUCTURE:BODY:DOOR,"Ford Motor Company (Ford) is recalling certain model year 2014 Ford Transit Connect cargo vans manufactured August 9, 2013, to September 20, 2014.  The affected vehicles are equipped with sliding door panels that may have an improper bond strength between the plastic panel and paint primer.  This could cause the door panel to separate from the vehicle while driving.",domestic,0
